Time (s),Engine RPM,Calculated Load %,MAF g/s,Throttle %,AFR,Commanded AFR,STFT %,LTFT %,Ignition Timing,Knock Count,Intake Air Temp C
6.4,5971.0,84.7,210.8,85.9,12.79,12.5,-2.1,2.9,21.6,0,45.1
6.5,5936.0,73.7,179.3,68.3,12.73,12.5,-1.3,1.4,24.4,0,44.1
6.6,6157.0,94.9,245.2,100.0,12.24,12.5,-2.2,2.3,17.6,0,47.0
6.7,6240.0,91.2,236.8,92.7,12.45,12.5,1.2,1.8,18.5,0,45.4
6.8,6027.0,85.4,213.7,85.1,12.58,12.5,-0.3,3.3,20.7,0,46.3
6.9,5409.0,65.7,147.0,59.9,12.43,12.5,1.6,2.3,25.5,0,45.3
7.0,5755.0,77.3,185.0,77.3,12.77,12.5,-0.9,0.7,24.1,0,45.4
7.1,5980.0,88.2,219.3,89.4,12.74,12.5,-0.8,2.5,20.6,0,43.8
7.2,5983.0,89.2,221.7,85.0,12.38,12.5,3.7,2.5,19.6,0,43.2
7.3,5595.0,75.9,176.3,78.6,12.48,12.5,-3.2,2.8,23.6,0,46.7
7.4,6020.0,81.6,205.3,74.7,12.39,12.5,2.6,3.6,19.5,0,45.5
7.5,5805.0,82.4,201.3,77.6,12.47,12.5,3.3,1.1,20.8,0,45.7
7.6,5814.0,78.6,191.2,82.3,12.47,12.5,1.5,3.0,22.6,0,44.3
7.7,6338.0,83.9,222.6,77.9,12.64,12.5,-0.7,-0.6,22.2,0,44.6
7.8,5938.0,69.9,172.5,66.3,12.37,12.5,2.9,1.8,24.7,0,46.6
7.9,6065.0,72.6,183.6,74.8,12.11,12.5,-0.6,1.6,25.3,0,47.3
8.0,6121.0,89.1,227.6,93.2,12.26,12.5,-1.4,4.2,20.6,0,45.0
8.1,6140.0,71.1,181.2,64.7,12.35,12.5,-0.8,1.8,23.7,0,46.3
8.2,5795.0,67.2,161.8,62.2,12.4,12.5,-1.1,2.9,25.1,0,45.9
8.3,6215.0,94.3,245.0,93.3,12.53,12.5,-1.9,-0.6,18.8,0,45.6
8.4,5956.0,85.0,212.0,86.6,12.34,12.5,2.2,1.5,20.3,0,47.6
8.5,6309.0,72.8,191.4,72.1,12.32,12.5,-1.5,0.7,25.3,0,45.3
8.6,5790.0,73.2,175.3,75.3,12.36,12.5,-0.1,5.7,22.6,0,47.1
8.7,6701.0,98.0,250.0,100.0,12.33,12.5,-2.9,1.0,17.8,0,46.2
8.8,6483.0,86.0,231.0,93.8,12.42,12.5,0.1,2.1,21.2,0,45.9
8.9,6123.0,81.9,209.0,79.4,12.41,12.5,-2.3,2.2,21.2,0,47.3
9.0,6015.0,80.0,200.7,74.6,12.6,12.5,-2.4,-0.4,21.5,0,46.2
9.1,6121.0,75.3,191.7,71.7,12.35,12.5,-0.2,1.2,23.1,0,45.9
9.2,6493.0,94.2,250.0,87.6,12.45,12.5,2.1,2.6,19.3,0,47.4
9.3,6437.0,77.1,207.1,75.4,12.42,12.5,0.9,2.1,22.2,0,47.3
9.4,6501.0,88.7,240.4,95.3,12.62,12.5,1.0,-1.5,18.8,0,47.3
9.5,6717.0,82.7,230.3,80.2,12.48,12.5,-0.3,1.1,22.5,0,42.2
9.6,6262.0,73.3,190.9,68.1,12.66,12.5,-0.7,3.5,24.1,0,46.6
9.7,6506.0,79.1,214.8,79.4,12.33,12.5,1.6,2.9,23.2,0,46.4
9.8,6271.0,94.3,248.1,100.0,12.49,12.5,-1.1,3.8,19.2,0,46.2
9.9,6496.0,79.8,215.8,74.8,12.41,12.5,1.7,0.5,24.2,0,46.9
10.0,6330.0,80.1,211.9,84.6,12.32,12.5,2.5,3.9,23.1,0,46.5
10.1,6671.0,81.2,226.6,86.4,12.49,12.5,-1.7,1.9,21.0,0,47.0
10.2,5836.0,83.8,203.5,82.1,12.76,12.5,-1.4,4.4,21.5,0,46.1
10.3,6076.0,80.6,205.2,82.5,12.37,12.5,-1.1,2.0,21.3,0,47.9
10.4,6174.0,94.6,244.4,93.3,12.48,12.5,-2.9,-1.1,17.9,0,47.2
10.5,6898.0,98.0,250.0,93.3,12.3,12.5,-0.9,3.3,16.1,0,47.0
10.6,6424.0,88.1,236.3,86.8,12.28,12.5,2.6,1.3,19.7,0,47.0
10.7,6274.0,89.0,235.0,81.8,12.38,12.5,-2.1,1.4,20.3,0,47.6
10.8,6326.0,74.0,194.3,77.0,12.43,12.5,2.7,-0.2,23.4,0,47.5
10.9,6386.0,98.0,250.0,100.0,12.44,12.5,-0.9,4.4,16.4,0,46.4
11.0,6855.0,98.0,250.0,94.2,12.47,12.5,4.2,1.2,16.0,0,47.6
11.1,6967.0,89.2,250.0,90.4,12.25,12.5,-1.4,4.4,21.8,0,46.8
11.2,6842.0,97.3,250.0,92.1,12.41,12.5,-0.3,1.4,18.0,1,48.6
11.3,6845.0,85.4,244.4,79.0,12.58,12.5,-1.8,0.6,19.8,0,47.8
11.4,6135.0,84.0,216.2,86.8,12.3,12.5,-1.4,4.0,21.5,0,46.1
11.5,6217.0,90.9,234.5,84.3,12.45,12.5,2.7,1.9,21.5,2,49.1
11.6,6587.0,98.0,250.0,100.0,12.54,12.5,0.9,1.9,18.1,0,44.7
11.7,6658.0,86.5,237.8,82.6,12.38,12.5,2.1,0.1,17.6,0,47.4
11.8,6155.0,88.0,225.5,93.6,12.55,12.5,-2.6,1.3,22.7,0,46.1
11.9,6766.0,98.0,250.0,95.4,12.27,12.5,1.3,2.6,15.7,0,48.7
12.0,6157.0,76.2,195.4,74.2,12.63,12.5,-1.9,0.1,22.7,0,47.1
12.1,6230.0,87.6,230.2,92.0,12.55,12.5,-2.7,1.2,19.0,0,46.1
12.2,6281.0,89.1,234.8,89.2,12.51,12.5,0.5,1.4,19.0,0,46.7
12.3,6886.0,98.0,250.0,92.1,12.67,12.5,0.5,2.1,17.8,0,46.3
12.4,6759.0,98.0,250.0,100.0,12.45,12.5,0.1,4.2,15.4,0,46.7
12.5,6534.0,76.7,209.7,74.3,12.41,12.5,1.4,1.6,22.7,0,46.7
12.6,6858.0,85.6,244.2,78.8,12.71,12.5,1.7,1.0,21.8,0,46.3
12.7,6850.0,83.9,239.5,82.4,12.78,12.5,2.9,6.1,20.2,0,47.4
12.8,6375.0,77.6,206.3,78.7,12.4,12.5,-2.4,1.4,21.2,0,47.5
12.9,6813.0,92.0,250.0,94.0,12.48,12.5,3.0,1.7,18.9,0,46.2
13.0,6167.0,92.8,237.4,99.0,12.66,12.5,3.8,1.5,18.5,0,45.5
13.1,6497.0,87.1,235.9,87.8,12.49,12.5,-0.7,1.6,19.6,0,47.5
13.2,6064.0,85.9,217.1,81.1,12.59,12.5,-3.3,2.1,19.3,0,47.8
13.3,6406.0,83.8,223.0,79.8,12.62,12.5,-2.8,3.4,21.6,0,48.0
13.4,6508.0,83.8,226.4,77.1,12.42,12.5,-0.9,2.6,21.6,0,47.9
13.5,6012.0,89.1,223.0,93.3,12.56,12.5,4.0,3.6,18.7,2,48.9
13.6,6435.0,91.5,246.3,84.3,12.5,12.5,0.0,3.6,18.2,0,48.4
13.7,6641.0,86.6,239.5,88.4,12.32,12.5,-1.2,2.3,20.5,0,50.1
13.8,6594.0,98.0,250.0,99.9,12.35,12.5,-1.4,2.6,16.5,0,50.5
13.9,5966.0,80.2,198.7,84.8,12.4,12.5,-2.6,3.7,22.1,0,45.7
14.0,6006.0,73.3,183.6,67.1,12.64,12.5,1.7,0.3,25.1,0,45.3
14.1,6284.0,84.7,221.4,79.7,12.64,12.5,-0.2,5.7,20.8,0,47.5
14.2,6822.0,98.0,250.0,100.0,12.61,12.5,4.2,1.2,16.3,0,48.1
14.3,6844.0,90.0,250.0,91.3,12.57,12.5,1.3,1.5,19.9,0,47.5
14.4,6216.0,92.8,242.2,92.0,12.56,12.5,1.7,0.2,18.6,2,48.3
14.5,6660.0,91.8,250.0,96.4,12.54,12.5,-0.5,0.2,18.9,0,47.4
14.6,6495.0,87.5,238.6,94.6,12.56,12.5,-2.2,3.5,20.6,0,47.0
14.7,6933.0,98.0,250.0,93.4,12.57,12.5,-1.7,5.4,18.2,0,47.2
14.8,5946.0,79.1,196.4,85.4,12.29,12.5,-2.7,1.1,22.3,0,47.5
14.9,6434.0,85.2,229.8,78.5,12.38,12.5,1.8,2.5,20.6,1,48.6
15.0,6473.0,77.6,210.1,85.0,12.35,12.5,-0.8,2.3,24.7,0,47.3
15.1,6151.0,79.7,203.4,74.3,12.67,12.5,1.9,3.5,23.3,0,47.5
15.2,5856.0,76.1,186.3,72.6,12.75,12.5,0.3,5.3,23.8,2,48.4
15.3,5851.0,71.0,174.9,65.2,12.17,12.5,-0.6,4.3,24.4,0,47.7
15.4,6276.0,87.3,227.3,92.6,12.73,12.5,-2.3,1.6,19.2,2,49.0
15.5,6522.0,79.3,217.7,87.0,12.51,12.5,0.6,2.8,23.3,0,47.0
15.6,6517.0,81.4,221.4,78.1,12.65,12.5,-0.4,2.9,21.8,0,46.8
15.7,5944.0,81.4,201.1,78.5,12.58,12.5,1.8,2.0,21.1,1,48.3
15.8,6659.0,84.6,233.9,80.9,12.72,12.5,-1.4,0.4,20.6,2,48.4
15.9,6129.0,86.2,219.9,80.3,12.53,12.5,1.2,0.8,19.5,0,47.2
16.0,6743.0,97.5,250.0,100.0,12.3,12.5,3.3,3.7,18.7,0,49.4
16.1,5824.0,73.4,177.7,67.0,12.48,12.5,0.5,3.9,24.3,0,50.0
16.2,6574.0,78.5,214.8,85.9,12.58,12.5,1.6,1.7,22.6,0,47.5
16.3,6633.0,90.2,248.3,97.9,12.47,12.5,1.1,2.4,19.4,2,49.7
16.4,6526.0,78.0,212.8,72.1,12.6,12.5,3.8,3.8,21.8,0,45.8
16.5,6494.0,88.8,240.0,89.3,12.49,12.5,0.7,-0.6,17.7,1,49.3
16.6,6006.0,86.3,215.4,94.9,12.41,12.5,1.4,1.3,19.0,0,47.4
16.7,6358.0,89.4,236.5,95.7,12.34,12.5,-0.1,5.0,18.9,1,49.3
16.8,6200.0,82.5,213.6,86.1,12.44,12.5,-1.5,2.4,20.5,0,47.4
16.9,6021.0,91.9,230.7,83.2,12.53,12.5,-2.4,0.3,19.3,1,48.3
17.0,6592.0,79.1,216.7,72.3,12.21,12.5,2.5,2.2,23.0,0,47.6
17.1,5846.0,87.3,212.9,92.5,12.38,12.5,-2.0,3.5,20.0,2,48.2
17.2,5954.0,87.3,216.4,85.1,12.2,12.5,1.5,-1.8,21.6,0,50.3
17.3,6437.0,85.4,227.9,88.3,12.41,12.5,0.8,2.3,19.9,2,48.3
17.4,5789.0,69.4,167.2,72.8,12.68,12.5,1.8,1.4,24.5,0,50.6
17.5,5631.0,67.3,158.6,66.3,12.32,12.5,-1.0,-0.5,25.1,0,48.1
17.6,5771.0,87.0,209.8,80.8,12.61,12.5,-1.6,2.1,21.3,2,50.0
17.7,6205.0,77.2,199.4,75.5,12.93,12.5,0.8,1.8,22.8,0,46.9
17.8,6283.0,94.7,248.6,100.0,12.72,12.5,-0.6,2.0,18.5,2,48.3
17.9,5515.0,73.4,167.6,70.9,12.52,12.5,-2.5,1.5,22.0,0,48.1
18.0,6000.0,79.8,198.6,72.9,12.63,12.5,3.9,0.5,21.1,0,50.2
18.1,5923.0,82.4,203.2,90.0,12.29,12.5,-1.6,-0.2,22.5,0,48.9
18.2,6001.0,73.9,186.2,76.5,12.26,12.5,-2.0,1.0,21.5,0,46.6
18.3,5979.0,78.7,196.3,79.4,12.5,12.5,-0.5,3.3,23.7,0,47.4
18.4,6237.0,95.5,248.0,100.0,12.56,12.5,2.5,2.3,18.6,0,47.7
18.5,5615.0,69.0,162.9,67.7,12.66,12.5,-4.3,1.9,24.0,0,49.7
18.6,5547.0,83.1,191.8,91.2,12.41,12.5,2.3,0.4,20.4,2,49.6
18.7,5795.0,89.1,217.4,95.5,12.53,12.5,-1.8,1.4,21.6,1,48.5
18.8,5624.0,64.9,151.6,62.1,12.52,12.5,0.5,3.1,27.2,0,48.3
18.9,5642.0,76.0,177.6,74.0,12.48,12.5,-1.4,2.8,22.9,2,49.6
19.0,5234.0,62.2,135.5,59.4,12.49,12.5,4.0,1.3,26.6,0,47.8
19.1,5285.0,72.3,159.0,74.6,12.37,12.5,0.2,-1.9,23.3,0,49.4
19.2,6000.0,92.6,230.8,95.2,12.54,12.5,-1.4,1.0,19.0,1,49.3
19.3,5163.0,76.0,166.0,76.3,12.53,12.5,-0.6,1.3,22.3,0,48.7
19.4,5623.0,84.5,198.3,92.4,12.43,12.5,0.2,0.6,20.8,2,49.4
19.5,5747.0,70.3,168.7,69.9,12.6,12.5,0.4,1.4,26.2,0,49.2
19.6,5038.0,66.8,139.8,70.6,12.65,12.5,0.9,3.2,25.2,0,49.6
19.7,5206.0,63.1,136.3,65.1,12.6,12.5,-0.0,1.9,25.2,0,47.8
19.8,5320.0,78.7,175.5,79.0,12.34,12.5,-2.8,3.5,21.0,1,49.7
19.9,5410.0,65.0,144.9,59.1,12.51,12.5,-0.7,-0.3,25.9,0,50.2
20.0,5234.0,61.8,133.7,63.8,12.36,12.5,1.2,1.5,25.8,0,49.5
20.1,5480.0,62.1,141.6,63.9,12.51,12.5,-1.3,-0.9,26.7,0,49.8
20.2,5077.0,60.2,128.8,55.7,12.36,12.5,1.3,1.4,25.3,0,49.1
20.3,4874.0,57.5,116.5,60.9,14.89,14.7,0.1,0.4,28.3,0,50.2
20.4,4827.0,54.8,110.6,54.4,14.82,14.7,-0.4,3.9,27.2,0,49.4
20.5,5098.0,74.3,157.8,71.7,12.67,12.5,2.4,2.6,23.5,2,48.2
20.6,5084.0,72.3,154.4,77.0,12.66,12.5,-3.5,3.5,23.6,2,50.2
20.7,5557.0,68.5,157.0,66.4,12.46,12.5,-1.4,1.4,26.6,0,47.7
20.8,4757.0,66.9,133.3,68.5,12.44,12.5,2.5,0.5,25.5,0,49.7
20.9,5139.0,65.9,141.0,67.5,12.76,12.5,3.7,0.4,27.5,0,49.0
21.0,5148.0,73.3,158.1,66.7,12.48,12.5,4.6,2.4,24.2,2,49.0
21.1,5218.0,65.1,140.7,64.1,12.3,12.5,0.1,4.7,27.2,0,49.6
21.2,5136.0,68.8,147.2,65.0,12.65,12.5,0.9,2.6,24.6,0,48.8
21.3,4588.0,57.0,108.8,53.5,14.72,14.7,1.6,1.4,28.1,0,50.0
21.4,5067.0,60.2,126.1,62.1,12.73,12.5,2.6,1.7,28.2,0,49.6
21.5,4785.0,63.7,125.7,57.5,12.54,12.5,0.6,2.0,27.0,0,49.0
21.6,5115.0,72.2,153.3,79.0,12.5,12.5,1.9,5.0,24.5,1,50.9
21.7,4618.0,64.0,123.3,62.7,12.73,12.5,0.9,3.9,25.7,0,49.8
21.8,5003.0,62.6,129.8,60.1,12.27,12.5,1.0,2.4,26.2,0,50.3
21.9,4899.0,64.2,130.7,69.6,12.41,12.5,-1.8,2.2,27.1,0,51.1
22.0,4886.0,68.7,137.9,68.5,12.37,12.5,-0.7,2.4,26.2,0,51.1
22.1,4488.0,49.8,92.8,51.0,14.37,14.7,-1.0,2.7,29.0,0,50.3
22.2,4832.0,54.7,111.2,56.9,14.83,14.7,-2.4,1.4,27.6,0,49.4
22.3,4850.0,60.7,123.4,65.2,12.42,12.5,-3.3,0.7,25.9,0,48.3
22.4,4630.0,54.7,105.5,50.7,14.84,14.7,-0.8,3.5,29.1,0,50.0
22.5,4487.0,55.3,103.7,50.7,14.76,14.7,-0.5,2.0,27.2,0,50.9
22.6,4327.0,48.3,86.3,53.1,14.79,14.7,0.2,3.4,30.7,0,50.2
22.7,4386.0,57.5,106.7,51.8,14.63,14.7,1.1,4.5,28.2,0,46.4
22.8,4695.0,63.8,126.9,66.5,12.39,12.5,0.4,2.8,25.5,0,50.8
22.9,4407.0,61.2,112.5,62.5,12.51,12.5,-0.5,2.5,28.3,0,50.8
23.0,4581.0,61.6,120.2,62.2,12.64,12.5,-1.8,6.8,25.1,0,49.6
23.1,4572.0,57.0,107.9,60.2,14.69,14.7,1.8,2.3,29.4,0,50.9
23.2,4491.0,65.1,120.5,71.5,12.39,12.5,-0.2,0.4,26.1,0,50.6
23.3,4455.0,60.9,112.3,55.4,12.32,12.5,-0.9,1.6,24.7,0,49.3
23.4,4377.0,56.3,102.4,57.6,14.73,14.7,-0.4,4.3,29.5,0,51.3
23.5,4280.0,49.5,90.6,51.7,14.62,14.7,-1.5,0.1,30.6,0,48.8
23.6,4032.0,52.7,88.3,50.7,14.69,14.7,-1.1,0.9,28.4,0,50.0
23.7,4425.0,58.1,106.2,62.7,14.66,14.7,-1.1,3.7,26.5,0,49.9
23.8,4467.0,60.3,111.4,59.8,12.43,12.5,-0.6,1.6,25.3,0,49.3
23.9,4108.0,56.0,97.0,52.3,14.74,14.7,1.3,1.8,30.4,0,50.5
24.0,4372.0,62.7,115.1,67.1,12.58,12.5,0.8,3.6,25.4,0,51.5
24.1,4375.0,63.3,114.9,68.9,12.79,12.5,3.1,0.9,24.9,0,51.4
24.2,4017.0,52.2,85.5,48.0,14.81,14.7,2.4,-0.2,29.2,0,50.9
24.3,4130.0,59.3,100.8,62.2,14.94,14.7,3.9,-0.1,25.5,0,48.5
24.4,4044.0,56.9,97.7,53.7,14.58,14.7,1.1,2.9,26.8,0,48.9
24.5,3762.0,39.4,62.5,35.5,14.46,14.7,1.1,2.4,33.1,0,50.5
24.6,3616.0,45.9,69.2,43.7,14.7,14.7,-1.0,1.0,31.0,0,50.3
24.7,3824.0,42.7,69.9,45.8,14.83,14.7,1.7,0.3,30.9,0,49.8
24.8,3984.0,46.7,79.5,43.3,14.81,14.7,-1.3,1.6,30.3,0,52.3
24.9,3681.0,42.3,64.9,39.2,14.88,14.7,-2.9,3.7,31.0,0,50.5
25.0,3908.0,48.3,78.7,50.7,14.32,14.7,3.1,0.7,29.9,0,50.9
25.1,3799.0,40.0,62.8,39.3,14.89,14.7,-2.5,1.0,31.2,0,51.4
25.2,3785.0,43.0,67.5,40.0,14.75,14.7,0.9,0.2,30.7,0,50.5
25.3,3524.0,36.6,52.3,34.7,14.47,14.7,-1.8,1.4,32.2,0,53.1
25.4,3590.0,45.7,66.8,48.4,14.81,14.7,2.3,2.5,29.9,0,49.6
25.5,3401.0,45.6,62.8,46.7,14.73,14.7,2.5,5.2,31.7,0,49.9
25.6,3403.0,46.9,67.6,49.4,14.76,14.7,1.1,2.3,31.0,0,49.6
25.7,3288.0,38.4,51.1,35.4,14.85,14.7,2.5,1.9,31.5,0,52.1
25.8,3275.0,36.1,51.1,35.8,14.76,14.7,0.0,3.3,31.8,0,51.4
25.9,3285.0,43.1,58.3,45.7,14.48,14.7,4.5,3.0,31.1,0,50.1
26.0,3437.0,36.5,54.1,34.8,14.68,14.7,1.5,1.1,35.0,0,49.8
26.1,3333.0,45.4,62.7,42.4,14.46,14.7,-1.8,5.5,29.6,0,52.0
26.2,3214.0,40.4,52.5,39.4,14.8,14.7,0.1,2.0,31.7,0,51.0
26.3,3466.0,41.8,61.7,40.4,14.91,14.7,-0.3,2.4,31.6,0,52.1
26.4,3270.0,34.1,47.8,31.9,14.51,14.7,-0.5,2.8,33.4,0,50.6
26.5,3420.0,35.1,49.2,38.3,14.6,14.7,-3.3,2.5,32.8,0,51.2
26.6,3251.0,39.0,52.5,38.9,14.57,14.7,0.8,4.3,33.4,0,51.0
26.7,2937.0,32.8,39.2,33.5,14.63,14.7,-2.8,1.1,34.3,0,50.1
26.8,3304.0,43.3,59.5,40.1,14.76,14.7,-5.1,3.2,32.0,0,50.6
26.9,3243.0,40.0,54.1,40.9,14.63,14.7,-0.7,2.2,32.6,0,49.6
27.0,3111.0,35.6,45.8,36.0,14.8,14.7,-1.5,3.5,34.0,0,51.3
27.1,3033.0,32.2,38.9,35.0,14.86,14.7,-1.7,1.7,35.5,0,51.6
27.2,2965.0,33.9,41.3,33.3,14.87,14.7,-6.2,1.5,34.9,0,51.9
27.3,2943.0,30.3,37.9,32.0,14.53,14.7,-1.7,3.1,36.7,0,51.6
27.4,3026.0,36.8,46.1,35.3,14.91,14.7,-0.3,2.5,34.0,0,50.8
27.5,2889.0,33.9,40.5,34.5,14.92,14.7,-1.3,0.8,32.8,0,52.5
27.6,2724.0,33.2,36.7,36.0,14.93,14.7,0.8,4.0,34.5,0,51.8
27.7,2647.0,28.7,31.1,29.5,14.68,14.7,2.8,3.1,35.5,0,52.4
27.8,2643.0,27.2,31.3,28.3,14.59,14.7,1.0,1.9,37.1,0,52.4
27.9,2659.0,32.3,34.7,34.8,14.55,14.7,2.1,1.3,33.0,0,50.9
28.0,2670.0,31.2,35.5,33.9,14.53,14.7,2.2,2.5,34.8,0,51.4
28.1,2825.0,33.9,40.0,31.9,14.7,14.7,-2.0,3.0,32.8,0,51.8
28.2,2561.0,28.1,30.2,26.4,14.83,14.7,0.9,-0.4,35.5,0,49.9
28.3,2558.0,31.0,32.3,31.3,14.9,14.7,2.0,2.6,34.0,0,50.0
28.4,2494.0,24.6,25.3,27.1,14.63,14.7,-0.9,3.0,36.3,0,49.8
28.5,2571.0,27.2,29.1,27.1,14.69,14.7,-1.6,-1.5,33.8,0,51.0
28.6,2562.0,30.4,31.9,29.3,14.68,14.7,1.1,2.3,35.2,0,50.8
28.7,2503.0,24.0,25.4,24.2,14.6,14.7,-3.0,3.0,36.2,0,49.7
28.8,2602.0,31.1,34.2,28.4,14.81,14.7,-2.2,2.9,34.4,0,51.3
28.9,2581.0,26.9,31.1,25.2,14.75,14.7,-1.3,3.2,37.2,0,51.1
