Procede Data Log
OpenFlash Data File 1
13
Time[s],RPM,Throttle,MAF Volt.,Engine Load,Intake Air Temp.,Ignition Adv.,AFR,STFT,LTFT,FLKC,Oil Temp.,Command AFR,Fuel Sys. Status
2.57,1098.75,0,1.41,0.21,109.4,11.5,13.21,-12.5,18.75,0,183.2,14.94,2
2.67,1089.5,0,1.41,0.22,109.4,11,14.13,-12.5,18.75,0,183.2,14.94,2
2.78,1069,0,1.4,0.22,109.4,10.5,14.47,-12.5,18.75,0,183.2,14.94,2
2.88,1057.25,0,1.41,0.23,109.4,10.5,15.16,-10.94,18.75,0,183.2,14.94,2
2.99,1023.75,0,1.4,0.23,109.4,11,15.85,-10.94,18.75,0,183.2,14.94,2
3.09,1017,0,1.41,0.24,109.4,11,17.11,-10.16,18.75,0,183.2,14.94,2
3.19,1003.5,0,1.41,0.24,109.4,11,16.19,-8.59,18.75,0,183.2,14.94,2
3.30,982.5,0,1.39,0.25,109.4,11,17.57,-8.59,18.75,0,183.2,14.94,2
3.40,960.75,0,1.41,0.25,109.4,11,17.8,-7.03,18.75,0,183.2,14.94,2
3.51,945.25,0,1.41,0.26,109.4,11,17.69,-6.25,18.75,0,183.2,14.94,2
3.61,920.25,0,1.41,0.27,109.4,11,18.15,-4.69,18.75,0,183.2,14.94,2
3.71,907.25,0,1.41,0.28,109.4,11,17,-4.69,18.75,0,183.2,14.94,2
3.82,898.75,0,1.4,0.27,109.4,10.5,17.69,-3.91,18.75,0,183.2,14.94,2
3.92,901.5,0,1.42,0.28,109.4,10,16.54,-3.12,18.75,0,183.2,14.94,2
4.02,909,0,1.41,0.26,109.4,9.5,16.31,-3.12,18.75,0,183.2,14.94,2
4.12,926.5,0,1.43,0.27,109.4,9,16.19,-3.12,18.75,0,183.2,14.94,2
4.23,950,0,1.43,0.26,109.4,9,17,-2.34,18.75,0,183.2,14.94,2
4.33,966.25,0,1.41,0.26,109.4,8.5,16.31,-1.56,18.75,0,183.2,14.94,2
4.43,987.5,0,1.43,0.25,109.4,8.5,17.34,-0.78,18.75,0,183.2,14.94,2
4.53,1021,0,1.42,0.25,109.4,8.5,16.19,0,18.75,0,183.2,14.94,2
4.63,1023.75,0,1.41,0.23,109.4,9.5,15.73,0,18.75,0,183.2,14.94,2
4.73,1026.25,0,1.42,0.24,109.4,9.5,15.96,0,18.75,0,183.2,14.94,2
4.84,1025,0,1.39,0.24,109.4,10,15.16,0.78,18.75,0,183.2,14.94,2
4.94,1024.75,0,1.41,0.24,109.4,10,16.19,0,18.75,0,183.2,14.94,2
5.04,1015.5,0,1.4,0.23,109.4,10.5,16.08,1.56,18.75,0,183.2,14.94,2
5.14,997,0,1.41,0.24,109.4,11,16.08,1.56,18.75,0,183.2,14.94,2
5.24,983.75,0,1.4,0.25,109.4,11,15.27,1.56,18.75,0,183.2,14.94,2
5.34,928.25,0,1.42,0.26,109.4,11.5,14.93,1.56,18.75,0,183.2,14.94,2
5.44,909.75,0,1.42,0.27,109.4,11.5,14.59,1.56,18.75,0,183.2,14.94,2
5.54,885.25,0,1.44,0.27,109.4,12,15.27,1.56,18.75,0,183.2,14.94,2
5.65,845.25,0,1.43,0.3,109.4,12,14.59,0.78,18.75,0,183.2,14.94,2
5.75,834,0,1.42,0.31,109.4,11.5,14.36,1.56,18.75,0,183.2,14.94,2
5.86,801.25,0,1.4,0.3,109.4,10.5,14.36,0.78,18.75,0,183.2,14.94,2
5.96,786.25,0,1.39,0.29,109.4,12,14.7,0.78,18.75,0,183.2,14.94,2
6.06,775.5,0,1.4,0.3,109.4,13,14.47,0.78,18.75,0,183.2,14.94,2
6.16,759.5,0,1.39,0.31,109.4,13.5,14.93,1.56,18.75,0,183.2,14.94,2
6.26,752,0,1.39,0.31,109.4,14,15.04,1.56,18.75,0,183.2,14.94,2
6.37,750,0,1.39,0.31,109.4,14,14.47,1.56,18.75,0,183.2,14.94,2
6.47,751.25,0,1.39,0.31,109.4,14,14.93,1.56,18.75,0,183.2,14.94,2
6.57,764.5,0,1.39,0.3,109.4,13,14.81,1.56,18.75,0,183.2,14.94,2
6.67,770,0,1.4,0.3,111.2,12,14.36,1.56,18.75,0,183.2,14.94,2
6.78,772.75,0,1.39,0.29,111.2,12,14.81,1.56,18.75,0,183.2,14.94,2
6.88,774.75,0,1.38,0.3,111.2,12,14.93,1.56,18.75,0,183.2,14.94,2
6.98,779,0,1.39,0.3,111.2,11.5,14.81,1.56,18.75,0,183.2,14.94,2
7.08,776.75,6.64,1.89,0.84,111.2,11,14.7,2.34,20.31,0,183.2,14.94,2
7.18,804,18.66,2.47,1.96,111.2,11.5,14.93,1.56,19.53,0,183.2,14.94,2
7.29,1030,29.78,2.16,1.65,111.2,6,14.01,0.78,20.31,0,183.2,14.71,2
7.39,1411.5,44,2.33,0.69,111.2,8,13.55,-0.78,19.53,0,183.2,14.71,2
7.50,1558,30.75,2.29,0.86,109.4,9,14.36,-2.34,20.31,0,183.2,14.71,2
7.60,1816,19.33,2.28,0.72,109.4,9.5,15.04,-1.56,20.31,0,183.2,14.59,2
7.70,1903.25,13.66,2.23,0.67,109.4,11.5,13.78,-1.56,21.88,0,183.2,14.59,2
7.80,1950.25,11.93,2.25,0.65,109.4,14,14.59,-1.56,20.31,0,183.2,14.59,2
7.91,1995.5,13.48,2.31,0.66,109.4,15,14.24,-0.78,20.31,0,183.2,14.59,2
8.01,2031.75,13.8,2.37,0.72,109.4,14.5,14.47,-0.78,19.53,0,183.2,14.59,2
8.11,2083.5,14.15,2.37,0.71,109.4,14.5,14.47,0.78,17.97,0,183.2,14.59,2
8.21,2154.75,15.03,2.42,0.74,109.4,14.5,14.01,0,17.97,0,183.2,14.59,2
8.32,2266,18.59,2.55,0.83,109.4,14.5,13.55,-1.56,17.19,0,183.2,14.59,2
8.42,2329.75,19.23,2.55,0.8,109.4,15,14.13,-3.12,16.41,0,183.2,14.47,2
8.52,2474.5,21.4,2.64,0.85,109.4,15,14.36,-3.12,16.41,0,183.2,14.35,2
8.62,2675.25,33.99,2.8,0.86,109.4,14.5,14.59,-2.34,15.62,0,183.2,14.12,2
8.73,2809.75,44.77,2.96,0.96,109.4,15,14.13,1.56,15.62,0,183.2,13.88,2
8.83,3156.5,50.66,3,1.04,109.4,18,11.83,-2.34,14.84,0,183.2,13.65,2
8.93,3275.75,32.45,2.91,0.86,109.4,18,11.83,-6.25,14.84,0,183.2,13.65,2
9.03,3332,17.97,2.72,0.7,109.4,18.5,12.4,-13.28,14.06,0,183.2,13.88,2
9.13,3317.5,17.04,2.73,0.7,109.4,18,13.9,-13.28,14.06,0,183.2,14.35,2
9.24,3365.25,16.52,2.73,0.71,109.4,18,14.7,-10.94,14.06,0,183.2,14.47,2
9.34,3544,17.37,2.79,0.72,109.4,18.5,15.04,-7.03,11.72,0,183.2,14.47,2
9.44,3610.75,17.02,2.8,0.71,107.6,18.5,15.16,-3.12,11.72,0,183.2,14.59,2
9.55,3692.5,19.52,2.91,0.77,107.6,18.5,14.59,-2.34,11.72,0,183.2,14.59,2
9.66,3584.5,21.07,2.9,0.84,107.6,18,14.81,-2.34,11.72,0,183.2,14.35,2
9.77,3394,19.52,2.83,0.81,107.6,0,12.98,-6.25,11.72,0,183.2,14.24,2
9.87,3207.5,19.06,2.79,0.84,107.6,0,13.78,-8.59,11.72,0,183.2,14.24,2
9.98,2756,18.66,2.74,0.84,107.6,0,15.85,-7.03,11.72,0,183.2,14.12,2
10.08,2639,18.61,2.66,0.85,107.6,0.5,15.85,1.56,11.72,0,183.2,14.12,2
10.19,2665.25,18.82,2.68,0.83,107.6,14.5,14.47,5.47,11.72,0,183.2,14.12,2
10.30,2805.25,18.6,2.7,0.81,107.6,15.5,13.32,6.25,11.72,0,183.2,14.24,2
10.40,2789.25,16.83,2.66,0.77,107.6,16,12.52,1.56,11.72,0,183.2,14.24,2
10.50,2798.25,19.03,2.75,0.84,107.6,16,13.67,-3.91,11.72,0,183.2,14.35,2
10.60,2841.75,19.51,2.74,0.85,107.6,16,13.9,-3.12,11.72,0,183.2,14.24,2
10.70,2918.75,19.59,2.75,0.83,107.6,16.5,13.55,-3.91,11.72,0,183.2,14.12,2
10.80,2972.5,19.45,2.75,0.82,107.6,16.5,13.21,-6.25,11.72,0,183.2,14.24,2
10.90,2990.5,20.19,2.8,0.82,105.8,16.5,13.44,-7.81,11.72,0,183.2,14.24,2
11.00,3029.5,20.87,2.81,0.84,105.8,17,14.01,-7.81,11.72,0,183.2,14.12,2
11.10,3092.5,22.9,2.84,0.86,105.8,17,13.9,-7.81,11.72,0,183.2,14.12,2
11.20,3165.75,27.47,2.92,0.93,105.8,18,13.78,-7.81,11.72,0,183.2,14,2
11.30,3237.25,28.38,2.95,0.93,105.8,18.5,13.09,-10.16,11.72,0,183.2,13.76,2
11.41,3298.25,29.48,2.93,0.95,105.8,18.5,13.09,-11.72,11.72,0,183.2,13.76,2
11.52,3350.75,40.7,3.04,0.93,105.8,18.5,13.55,-11.72,11.72,0,183.2,13.65,2
11.63,3412.75,55.29,3.11,0.96,105.8,18.5,13.78,-9.38,11.72,0,183.2,13.65,2
11.74,3512.5,70.01,3.05,1.01,105.8,19,13.67,0,11.72,0,183.2,12.82,4
11.84,3582.5,77.35,3.11,1.05,105.8,19,11.94,0,11.72,0,183.2,12.82,4
11.94,3615,84.33,3.12,1.02,105.8,19,11.6,0,11.72,0,183.2,12.82,4
12.04,3658.25,88.57,3.14,0.98,105.8,19,11.83,0,11.72,0,183.2,12.82,4
12.14,3772.75,89.01,3.17,0.96,105.8,19.5,11.83,0,11.72,0,185,12.82,4
12.24,3812.75,91.44,3.15,0.98,105.8,20,11.94,0,11.72,0,185,12.82,4
12.35,3890,94.82,3.19,0.98,105.8,20.5,11.94,0,11.72,0,185,12.82,4
12.45,3935,95.3,3.21,1.01,105.8,20.5,11.83,0,11.72,0,185,12.82,4
12.55,4002.5,95.08,3.23,0.94,105.8,21,11.94,0,11.72,0,185,12.82,4
12.65,4080.5,94.49,3.23,0.97,105.8,21,11.94,0,11.72,0,185,12.82,4
12.76,4121.25,87.14,3.16,0.94,105.8,22,11.83,0,11.72,0,185,12.82,4
12.87,4194.25,77.85,3.25,0.93,104,22.5,11.71,0,11.72,0,185,12.82,4
12.97,4235.75,73.04,3.25,0.95,104,23,11.94,0,11.72,0,185,12.71,4
13.07,4290.75,72.22,3.24,0.91,104,23.5,11.83,0,11.72,0,185,12.71,4
13.18,4390.25,50.89,3.27,0.93,104,24,11.71,0,11.72,0,185,12.71,4
13.28,4422.75,27.01,3.13,0.83,104,24,11.71,0,11.72,0,185,12.71,4
13.38,4436.5,24.6,3.12,0.81,104,23.5,11.83,0,11.72,0,185,12.94,4
13.49,4542.75,24.16,3.17,0.84,104,23.5,12.4,0,11.72,0,185,13.06,4
13.59,4566.5,22.79,3.16,0.83,104,24.5,12.29,0,11.72,0,185,13.18,4
13.69,4572.75,22.36,3.16,0.82,104,24.5,12.63,0,11.72,0,185,13.18,4
13.80,4533,23.32,3.15,0.81,104,24.5,12.75,0,11.72,0,185,13.41,4
13.90,4380.75,27.43,3.2,0.88,104,21.5,12.75,0,11.72,0,185,13.18,4
14.00,4161.25,43.28,3.24,0.98,104,0.5,12.52,0,11.72,0,185,12.94,4
14.10,3785.5,53.07,3.13,0.98,104,0,11.6,0,11.72,0,185,12.82,4
14.20,3484.5,40.24,3.1,0.97,104,1.5,11.02,0,11.72,0,185,12.82,4
14.30,3426,29.51,2.98,0.9,104,15.5,11.14,0,11.72,0,185,12.82,4
14.41,3474.25,27.78,2.96,0.9,104,18.5,11.25,0,11.72,0,185,12.94,4
14.51,3488.5,24.81,2.95,0.88,104,19,11.37,0,11.72,0,185,13.06,4
14.62,3486,21.77,2.92,0.84,104,18.5,11.25,0,11.72,0,185,13.06,4
14.72,3499.25,20.52,2.89,0.82,104,18.5,11.37,0,11.72,0,185,13.18,4
14.82,3510.25,18.48,2.81,0.79,104,18,11.37,0,11.72,0,185,14,4
14.92,3491.75,16.25,2.75,0.7,104,18,11.83,-2.34,11.72,0,185,14.35,2
15.02,3497.5,16.34,2.77,0.7,104,18.5,13.32,-10.16,11.72,0,185,14.47,2
15.13,3523.75,17.75,2.83,0.72,104,18.5,14.24,-10.94,11.72,0,185,14.59,2
15.24,3571,20.07,2.9,0.8,104,18,14.81,-9.38,11.72,0,185,14.47,2
15.34,3604.25,18.56,2.84,0.81,104,17.5,14.36,-7.81,11.72,0,185,14.35,2
15.44,3591,17.67,2.84,0.73,104,17.5,13.9,-8.59,11.72,0,185,14.35,2
15.54,3579.5,17.46,2.82,0.73,104,18,13.9,-9.38,11.72,0,186.8,14.35,2
15.64,3558.5,17.18,2.82,0.73,104,18,14.36,-9.38,11.72,0,186.8,14.47,2
15.74,3468.5,15.92,2.73,0.72,104,1.5,14.36,-8.59,11.72,0,186.8,14.47,2
15.85,3254.5,12.05,2.56,0.64,104,0,14.47,-8.59,11.72,0,186.8,14.59,2
15.95,2622.5,11.53,2.48,0.63,104,1.5,16.54,-5.47,11.72,0,186.8,14.59,2
16.06,2578.5,5.21,2.11,0.47,104,6.5,15.73,0,11.72,0,186.8,14.59,2
16.16,2563.5,2.76,1.88,0.28,102.2,29.5,14.36,-0.78,11.72,0,186.8,14.71,2
16.26,2505.5,0.4,1.7,0.24,102.2,34.5,13.44,-5.47,11.72,0,186.8,14.82,2
16.36,2480,0,1.61,0.16,102.2,35,13.32,-7.81,11.72,0,186.8,14.82,2
16.46,2462.5,0,1.6,0.15,102.2,34.5,13.44,-7.81,12.5,0,186.8,14.94,2
16.56,2410.25,0,1.58,0.15,102.2,32,13.32,-8.59,13.28,0,186.8,14.94,2
16.66,2365.25,0,1.59,0.16,102.2,31.5,13.32,-9.38,14.06,0,186.8,14.94,2
16.77,2177.25,0,1.59,0.17,102.2,34,13.21,-10.16,14.06,0,186.8,14.94,2
16.88,2008.5,0,1.58,0.18,102.2,34,14.13,-10.16,14.84,0,186.8,14.82,2
16.98,1913.5,1.15,1.64,0.21,102.2,33.5,14.59,-10.16,14.84,0,186.8,14.94,2
17.08,1789.25,2.12,1.7,0.27,102.2,31,15.62,-10.16,14.84,0,186.8,14.94,2
17.18,1755.25,3.12,1.7,0.27,102.2,31.5,16.19,-7.03,14.84,0,186.8,14.94,2
17.28,1771.5,3.39,1.8,0.31,102.2,34.5,17.23,-3.91,14.84,0,186.8,14.94,2
17.38,1818.75,3.57,1.81,0.34,102.2,36,17.46,0,14.84,0,186.8,14.94,2
17.48,1842.5,4.32,1.88,0.34,102.2,36,16.08,1.56,14.84,0,186.8,14.82,2
17.58,1859.5,5.61,1.95,0.42,102.2,35,14.93,1.56,14.84,0,186.8,14.82,2
17.69,1870,6.21,2.03,0.47,102.2,34,14.59,0,14.06,0,186.8,14.82,2
17.80,1895,7.47,2.11,0.5,102.2,33,14.24,0,13.28,0,186.8,14.82,2
17.90,1896,5.5,2.13,0.55,102.2,30,14.36,-1.56,13.28,0,186.8,14.82,2
18.01,1773.75,3.63,1.85,0.38,102.2,29,14.24,-2.34,12.5,0,186.8,14.82,2
18.12,1586.75,3.41,1.82,0.39,102.2,27.5,14.7,-1.56,12.5,0,186.8,14.82,2
18.22,1470.75,3.71,1.8,0.4,102.2,26,14.01,-2.34,13.28,0,186.8,14.82,2
18.32,1450.25,4.24,1.8,0.41,102.2,26,14.13,-2.34,14.06,0,186.8,14.82,2
18.42,1472.5,4.13,1.79,0.39,102.2,26,14.7,-3.12,14.06,0,186.8,14.82,2
18.53,1502.5,4.11,1.77,0.38,102.2,27.5,15.5,0.78,14.84,0,186.8,14.82,2
18.64,1496.5,4.43,1.8,0.39,102.2,27.5,15.5,0.78,14.84,0,186.8,14.82,2
18.74,1491.25,4.69,1.83,0.41,102.2,27,14.59,1.56,14.84,0,186.8,14.82,2
18.85,1491.5,4.7,1.83,0.42,102.2,27,14.7,0,15.62,0,186.8,14.82,2
18.96,1494.5,4.58,1.81,0.41,102.2,27,14.24,0,15.62,0,186.8,14.82,2
19.06,1486.75,4.33,1.8,0.4,102.2,27,14.24,-1.56,15.62,0,186.8,14.82,2
19.17,1490,4.12,1.8,0.39,102.2,27,14.01,-1.56,17.97,0,186.8,14.82,2
19.27,1472.25,4.17,1.78,0.39,102.2,27,14.13,-1.56,17.97,0,186.8,14.82,2
19.37,1447.5,4.19,1.77,0.38,102.2,26,14.01,-1.56,17.97,0,186.8,14.82,2
19.48,1443,3.98,1.75,0.38,102.2,26.5,14.13,-2.34,17.97,0,186.8,14.82,2
19.58,1444.75,3.38,1.72,0.37,102.2,26.5,13.9,-3.91,17.97,0,186.8,14.82,2
19.68,1438.25,3.21,1.69,0.33,102.2,26.5,14.01,-3.91,17.97,0,186.8,14.94,2
19.79,1440.75,3.13,1.67,0.32,102.2,27,14.24,-3.91,17.97,0,186.8,14.94,2
19.90,1442,3.85,1.68,0.33,102.2,27,14.24,-3.91,17.97,0,186.8,14.94,2
20.01,1446.25,4.14,1.76,0.37,102.2,27.5,14.36,-3.12,17.97,0,186.8,14.94,2
20.11,1448.5,4.61,1.81,0.4,102.2,27,14.59,-3.12,17.97,0,186.8,14.94,2
20.22,1448.75,10.25,2.14,0.68,102.2,27,14.7,-3.12,17.97,0,186.8,14.94,2
20.32,1458.75,12.12,2.26,0.86,102.2,25,14.7,-3.91,19.53,0,186.8,14.82,2
20.43,1449.5,11.9,2.17,0.85,102.2,18.5,15.16,-3.12,19.53,0,186.8,14.71,2
20.53,1451.75,9.81,2.04,0.64,102.2,16,15.04,-2.34,19.53,0,186.8,14.71,2
20.64,1467,8.37,1.96,0.57,102.2,16,14.7,-1.56,19.53,0,186.8,14.71,2
20.75,1452,8.44,1.97,0.56,102.2,18.5,14.59,-2.34,19.53,0,186.8,14.71,2
20.86,1446.75,7.66,1.96,0.55,102.2,19,14.59,-2.34,19.53,0,186.8,14.71,2
20.96,1455.25,7.35,1.94,0.53,102.2,20,14.01,-1.56,19.53,0,186.8,14.71,2
21.06,1464.75,7.35,1.94,0.54,102.2,21,14.24,-3.12,19.53,0,186.8,14.71,2
21.17,1461.5,5.26,1.84,0.47,102.2,22,14.24,-3.12,19.53,0,186.8,14.82,2
21.27,1468,3.09,1.72,0.35,102.2,24,14.47,-2.34,17.97,0,186.8,14.82,2
21.38,1462.75,1.48,1.55,0.26,102.2,25,14.36,-2.34,17.97,0,186.8,14.82,2
21.48,1465.5,1.45,1.53,0.21,102.2,27,14.7,-0.78,17.97,0,186.8,14.82,2
21.59,1461,2.51,1.6,0.26,102.2,28,15.04,-2.34,17.97,0,186.8,14.94,2
21.69,1464,2.93,1.65,0.28,102.2,28.5,15.5,0,17.97,0,186.8,14.94,2
21.79,1469.75,3.59,1.71,0.3,102.2,28.5,15.16,0.78,17.97,0,186.8,14.94,2
21.90,1464.25,3.91,1.74,0.34,102.2,28.5,15.96,1.56,17.97,0,186.8,14.94,2
22.01,1465,4.07,1.75,0.36,102.2,28,15.27,3.12,17.97,0,186.8,14.94,2
22.11,1463.5,4.06,1.77,0.37,102.2,28,15.04,3.12,17.97,0,186.8,14.94,2
22.22,1463.25,4.21,1.76,0.37,102.2,28,15.04,3.12,17.97,0,186.8,14.94,2
22.33,1466.75,4.76,1.81,0.41,102.2,27.5,15.16,3.91,17.97,0,186.8,14.94,2
22.44,1461.75,5.15,1.84,0.41,102.2,27,14.59,4.69,17.97,0,186.8,14.82,2
22.54,1470.75,5.84,1.92,0.47,102.2,26,14.59,2.34,17.97,0,186.8,14.82,2
22.64,1463.75,5.79,1.93,0.52,102.2,26,13.67,3.12,19.53,0,186.8,14.82,2
22.74,1461.25,7.01,2,0.52,102.2,25,14.24,2.34,19.53,0,186.8,14.82,2
22.84,1469.75,7.23,2,0.58,102.2,24.5,14.13,1.56,19.53,0,186.8,14.82,2
22.94,1464,7.97,2.03,0.59,102.2,22.5,13.67,0.78,19.53,0,186.8,14.82,2
23.04,1467.25,8.33,2.03,0.6,102.2,22,14.13,-0.78,19.53,0,186.8,14.82,2
23.15,1469,7.31,1.96,0.55,102.2,21,13.9,-0.78,19.53,0,186.8,14.71,2
23.25,1470.75,7.57,1.98,0.55,102.2,21,13.32,-3.91,19.53,0,186.8,14.71,2
23.35,1470.25,7.6,1.97,0.55,102.2,21,13.32,-4.69,19.53,0,186.8,14.71,2
23.46,1467,7.95,1.99,0.57,102.2,21,14.47,-3.91,19.53,0,186.8,14.71,2
23.56,1472.25,7.99,1.99,0.57,102.2,21,14.47,-3.91,19.53,0,186.8,14.71,2
23.66,1467,8.1,1.99,0.57,102.2,20.5,14.47,-3.91,19.53,0,186.8,14.71,2
23.76,1467.25,7.53,1.96,0.55,102.2,20.5,14.81,-3.91,19.53,0,186.8,14.71,2
23.86,1468.75,5.29,1.86,0.46,102.2,21,14.93,-1.56,19.53,0,186.8,14.71,2
23.96,1468.25,5.1,1.85,0.44,102.2,22,14.81,-2.34,17.97,0,186.8,14.82,2
24.06,1467.5,5.92,1.89,0.45,102.2,24,14.93,-2.34,17.97,0,186.8,14.82,2
24.16,1467,6.98,1.97,0.54,102.2,24,14.36,-1.56,19.53,0,186.8,14.82,2
24.27,1466.25,5.85,1.93,0.54,102.2,23.5,15.16,-1.56,19.53,0,186.8,14.82,2
24.37,1468.75,5.57,1.89,0.48,102.2,23.5,14.7,-2.34,19.53,0,186.8,14.82,2
24.48,1467.25,5.61,1.87,0.47,102.2,24,14.81,-1.56,17.97,0,186.8,14.82,2
24.58,1464,5.9,1.91,0.48,100.4,24.5,14.81,-1.56,17.97,0,186.8,14.82,2
24.68,1468.75,5.95,1.92,0.5,100.4,24,14.47,-2.34,19.53,0,186.8,14.82,2
24.78,1464.75,5.85,1.91,0.5,100.4,24,14.36,-1.56,19.53,0,186.8,14.82,2
24.88,1462.75,5.68,1.9,0.5,100.4,24,13.78,-3.12,19.53,0,186.8,14.82,2
24.98,1468.25,5.43,1.89,0.48,100.4,24.5,14.01,-3.91,19.53,0,186.8,14.82,2
25.08,1463.5,4.9,1.85,0.45,100.4,24.5,14.47,-3.12,17.97,0,186.8,14.82,2
25.18,1461.5,5.32,1.85,0.44,100.4,25,14.36,-2.34,17.97,0,186.8,14.82,2
25.29,1461,6.25,1.93,0.5,100.4,25,14.59,-3.91,17.97,0,186.8,14.82,2
25.39,1460.5,6.75,1.96,0.54,100.4,24.5,14.81,-3.12,19.53,0,186.8,14.82,2
25.49,1465.5,8.41,2.05,0.6,100.4,24,14.36,-3.12,19.53,0,186.8,14.82,2
25.59,1464.5,8.61,2.06,0.64,100.4,22,15.04,-2.34,19.53,0,186.8,14.82,2
25.70,1463.75,11.32,2.13,0.63,100.4,19.5,14.59,-3.12,19.53,0,186.8,14.71,2
25.80,1462.5,12.63,2.15,0.74,100.4,17,14.24,-3.91,19.53,0,186.8,14.71,2
25.90,1468.5,12.9,2.12,0.73,100.4,15,14.24,-4.69,19.53,0,186.8,14.71,2
26.00,1463.5,12.09,2.08,0.66,100.4,11.5,14.24,-5.47,19.53,0,186.8,14.71,2
26.10,1460.75,9.44,2.02,0.62,100.4,12,14.47,-4.69,19.53,0,186.8,14.71,2
26.20,1459.75,7.86,1.96,0.56,100.4,13,14.13,-4.69,19.53,0,186.8,14.71,2
26.31,1464.5,7.33,1.96,0.54,100.4,18,14.7,-4.69,19.53,0,186.8,14.71,2
26.42,1463,6.29,1.92,0.51,100.4,19,15.04,-4.69,19.53,0,186.8,14.71,2
26.52,1457,6.04,1.89,0.49,100.4,20,14.47,-3.12,19.53,0,186.8,14.71,2
26.62,1459,5.95,1.91,0.49,100.4,21.5,14.47,-3.12,19.53,0,186.8,14.71,2
26.72,1458.25,5.2,1.85,0.49,100.4,22.5,14.36,-2.34,19.53,0,186.8,14.82,2
26.82,1458.25,4.37,1.79,0.4,100.4,24,13.67,-5.47,17.97,0,186.8,14.82,2
26.92,1450,3.9,1.77,0.39,100.4,24.5,14.01,-7.03,17.97,0,186.8,14.82,2
27.02,1448.75,2.66,1.71,0.36,100.4,25,13.21,-6.25,17.97,0,186.8,14.82,2
27.12,1450,2.48,1.66,0.3,100.4,26,14.36,-7.03,17.97,0,186.8,14.82,2
27.22,1444.25,2.43,1.67,0.3,100.4,26.5,14.59,-5.47,17.97,0,186.8,14.82,2
27.33,1440.5,2.35,1.67,0.31,100.4,27,14.81,-5.47,17.97,0,186.8,14.94,2
27.44,1443.75,2.25,1.66,0.3,100.4,27.5,14.59,-5.47,17.97,0,186.8,14.94,2
27.54,1438.75,2.19,1.64,0.29,100.4,27.5,14.81,-4.69,17.97,0,186.8,14.94,2
27.64,1436,2.23,1.64,0.29,100.4,27.5,15.16,-3.91,17.97,0,186.8,14.94,2
27.74,1432,2.38,1.66,0.3,100.4,27.5,15.62,-3.91,17.97,0,186.8,14.94,2
27.84,1433.25,2.61,1.67,0.3,100.4,28,15.27,-2.34,17.97,0,186.8,14.94,2
27.94,1427.5,3.09,1.7,0.33,100.4,27.5,14.36,-3.12,17.97,0,186.8,14.94,2
28.04,1423.25,3.24,1.72,0.35,100.4,27,14.13,-4.69,17.97,0,186.8,14.94,2
