Procede Data Log
OpenFlash Data File 1
14
Time[s],RPM,Throttle,MAF Volt.,Ignition Adv.,AFR,STFT,LTFT,FLKC,Command AFR,Fuel Sys. Status,Wideband AFR,MAF,O2S2 Volt,A/F Sensor V
2.13,815,0,1.52,5,14.59,-4.69,23.44,0,14.94,2,18,5.27,0,2.11
2.24,800.75,0,1.44,4,14.13,-4.69,23.44,0,14.94,2,18,4.69,0,2.1
2.34,769.5,0,1.39,6.5,14.36,-4.69,23.44,0,14.94,2,18,3.69,0,2.14
2.44,768.25,0,1.35,6,15.16,-4.69,23.44,0,14.94,2,18,3.38,0,2.17
2.55,772,0,1.31,5.5,15.39,-4.69,23.44,0,14.94,2,18,3.35,0,2.26
2.65,763.5,0,1.32,6.5,15.39,-3.12,23.44,0,14.94,2,18,3.06,0,2.35
2.75,761.25,0,1.37,7,15.62,-3.12,23.44,0,14.94,2,18,3.39,0,2.32
2.86,753,0,1.38,7.5,15.85,-3.12,23.44,0,14.94,2,18,3.74,0,2.33
2.97,739.25,0,1.36,9,16.08,-2.34,23.44,0,14.94,2,18,3.62,0,2.4
3.08,741.25,0,1.36,8.5,15.96,-1.56,23.44,0,14.94,2,18,3.49,0,2.39
3.18,741.5,0,1.38,8.5,15.62,-1.56,23.44,0,14.94,2,18,3.77,0,2.3
3.28,743.25,0,1.35,8.5,15.5,-1.56,23.44,0,14.94,2,18,3.46,0,2.29
3.38,743.75,0,1.36,8,16.08,-0.78,23.44,0,14.94,2,18,3.65,0,2.34
3.48,740,0,1.33,8.5,15.85,-0.78,23.44,0,14.94,2,18,3.44,0,2.34
3.58,746.25,0,1.35,8,16.19,0,23.44,0,14.94,2,18,3.46,0,2.4
3.68,746.75,0,1.34,7.5,15.62,0,23.44,0,14.94,2,18,3.48,0,2.34
3.78,741.25,0,1.35,8,16.54,0.78,23.44,0,14.94,2,18,3.26,0,2.41
3.89,742.75,0,1.36,8,15.85,1.56,23.44,0,14.94,2,18,3.45,0,2.4
4.00,750,0,1.3,8,15.5,0.78,23.44,0,14.94,2,18,3.26,0,2.3
4.10,745.25,0,1.36,8,16.19,1.56,23.44,0,14.94,2,18,3.65,0,2.39
4.20,748,0,1.36,7.5,16.19,2.34,23.44,0,14.94,2,18,3.61,0,2.41
4.30,747.25,0,1.36,7.5,15.85,2.34,23.44,0,14.94,2,18,3.49,0,2.35
4.40,746.5,0,1.35,8,15.85,3.12,23.44,0,14.94,2,18,3.45,0,2.37
4.51,746,0,1.35,9,16.08,3.91,23.44,0,14.94,2,18,3.42,0,2.33
4.61,749.25,0,1.31,8.5,14.93,3.12,23.44,0,14.94,2,18,3.44,0,2.25
4.72,745.75,0,1.31,7.5,15.85,3.12,23.44,0,14.94,2,18,3.11,0,2.33
4.82,750.75,0,1.32,8,16.08,3.91,23.44,0,14.94,2,18,3.26,0,2.35
4.93,743.75,0,1.32,8,15.39,3.91,23.44,0,14.94,2,18,3.22,0,2.29
5.03,749.5,0,1.27,7.5,15.73,3.91,23.44,0,14.94,2,18,2.96,0,2.31
5.14,755.75,0,1.3,7,15.85,3.91,23.44,0,14.94,2,18,3.09,0,2.25
5.25,758,0,1.28,7,15.62,4.69,23.44,0,14.94,2,18,2.95,0,2.32
5.35,755.25,0,1.4,7,16.19,4.69,23.44,0,14.94,2,18,3.39,0,2.36
5.45,761.5,0,1.51,6.5,15.85,5.47,23.44,0,14.94,2,18,4.58,0,2.31
5.55,761.25,0,1.53,5.5,15.04,5.47,23.44,0,14.94,2,18,5.72,0,2.24
5.65,800.75,0,1.49,4,15.5,5.47,23.44,0,14.94,2,18,5.29,0,2.25
5.76,801.5,0,1.44,3,15.04,5.47,23.44,0,14.94,2,18,4.37,0,2.16
5.86,766.25,0,1.44,6.5,14.93,5.47,23.44,0,14.94,2,18,4.45,0,2.24
5.96,764.75,0,1.47,5.5,16.19,5.47,23.44,0,14.94,2,18,4.61,0,2.29
6.06,767.5,0,1.48,5,16.65,6.25,23.44,0,14.94,2,18,4.82,0,2.32
6.16,759.5,0,1.49,4,16.19,7.81,23.44,0,14.94,2,18,5.09,0,2.41
6.26,778.5,0,1.5,3,16.42,7.81,23.44,0,14.94,2,18,5.1,0,2.41
6.36,786,0,1.47,2.5,15.39,8.59,23.44,0,14.94,2,18,4.84,0,2.31
6.47,783.75,0,1.49,2.5,15.96,9.38,23.44,0,14.94,2,18,4.71,0,2.42
6.58,773.75,0,1.5,3.5,16.77,10.16,23.44,0,14.94,2,18,5.15,0,2.46
6.69,773,0,1.48,3.5,16.19,10.16,23.44,0,14.94,2,18,4.97,0,2.38
6.79,766.75,0,1.5,3.5,15.85,10.94,23.44,0,14.94,2,18,5.12,0,2.39
6.90,760,0,1.47,4.5,16.77,11.72,23.44,0,14.94,2,18,4.9,0,2.33
7.01,750.5,0,1.49,4,16.31,11.72,23.44,0,14.94,2,18,4.99,0,2.39
7.11,749.75,0,1.46,4.5,16.08,12.5,23.44,0,14.94,2,18,4.73,0,2.38
7.21,731.5,0,1.45,6.5,15.27,12.5,23.44,0,14.94,2,18,4.68,0,2.34
7.31,726.75,0,1.45,7,14.93,12.5,23.44,0,14.94,2,18,4.76,0,2.22
7.41,726,0,1.46,6.5,15.16,12.5,24.22,0,14.94,2,18,4.68,0,2.28
7.51,735.5,0,1.47,7,15.27,12.5,24.22,0,14.94,2,18,4.76,0,2.11
7.62,729.25,0,1.48,6,13.67,11.72,24.22,0,14.94,2,18,4.86,0,2.11
7.72,729,0,1.46,5.5,14.24,11.72,24.22,0,14.94,2,18,4.51,0,2.12
7.82,739.25,0,1.46,6,14.47,10.94,24.22,0,14.94,2,18,4.65,0,1.98
7.93,733,0,1.47,6,13.55,10.94,24.22,0,14.94,2,18,4.62,0,2.11
8.03,732.25,0,1.47,6,14.36,10.16,24.22,0,14.94,2,18,4.82,0,2.12
8.14,741.75,0,1.46,5,13.55,9.38,24.22,0,14.94,2,18,4.54,0,1.95
8.24,707.25,0,1.46,8,13.78,10.16,24.22,0,14.94,2,18,4.54,0,2.12
8.34,710.75,0,1.44,8,14.13,9.38,24.22,0,14.94,2,18,4.65,0,2.03
8.44,720,0,1.47,7,13.09,8.59,24.22,0,14.94,2,18,4.65,0,2.09
8.54,723,0,1.46,6,14.24,7.81,24.22,0,14.94,2,18,4.75,0,2.05
8.64,725.25,19,2.5,6.5,13.21,7.03,24.22,0,14.94,2,18,4.8,0,1.89
8.74,751,9.23,1.79,3.5,12.86,7.81,23.44,0,14.94,2,18,33.13,0,1.95
8.85,926.75,0,1.79,3.5,12.86,7.03,22.66,0,14.82,2,18,4.76,0,1.85
8.95,1140,0,1.37,7,12.63,5.47,20.31,0,14.94,2,18,3.78,0,1.79
9.05,1049.5,0,1.37,0,12.4,3.12,21.09,0,14.94,2,18,3.88,0,1.72
9.15,1013.75,0,1.54,0,13.21,2.34,21.09,0,14.94,2,18,5.47,0,1.81
9.25,1006.5,0,1.57,5.5,14.01,1.56,21.88,0,14.94,2,18,6.12,0,1.87
9.35,1027.25,0,1.59,5,13.44,1.56,21.88,0,14.94,2,18,6.49,0,2.1
9.45,1047,0,1.61,5,13.78,1.56,21.88,0,14.94,2,18,6.52,0,2.02
9.56,1036.25,0,1.6,5,14.36,1.56,24.22,0,14.94,2,18,6.47,0,2.18
9.66,1022.5,0,1.59,5.5,14.36,1.56,24.22,0,14.94,2,18,6.43,0,2.22
9.76,1016.25,0,1.58,5.5,15.73,1.56,24.22,0,14.94,2,18,5.76,0,2.3
9.86,1006.75,0,1.59,5.5,15.96,2.34,24.22,0,14.94,2,18,5.92,0,2.23
9.96,1002.75,0,1.59,5.5,15.85,2.34,24.22,0,14.94,2,18,6.33,0,2.32
10.06,1000.5,0,1.59,5.5,15.39,3.12,24.22,0,14.94,2,18,6.17,0,2.3
10.16,1016.5,0,1.6,5,15.27,3.91,24.22,0,14.94,2,18,6.52,0,2.25
10.26,1019.25,0,1.58,5,14.59,3.91,24.22,0,14.94,2,18,6.12,0,2.3
10.36,1023.75,0,1.57,5,14.59,3.91,24.22,0,14.94,2,18,6.26,0,2.25
10.46,1016,0,1.58,5,14.59,3.91,24.22,0,14.94,2,18,6.05,0,2.26
10.56,1018.75,0,1.58,5,15.5,3.12,24.22,0,14.94,2,18,6.15,0,2.28
10.66,1030,0,1.57,5,14.59,3.12,24.22,0,14.94,2,18,6.12,0,2.14
10.76,1028.5,0,1.57,5,14.36,3.12,24.22,0,14.94,2,18,6.1,0,2.13
10.87,1020,0.86,1.63,5,14.13,3.12,24.22,0,14.94,2,18,6.24,0,2.06
10.97,1044,2.14,1.66,11.5,14.01,2.34,24.22,0,14.94,2,18,7.46,0,2.1
11.07,1078,2.18,1.61,14.5,13.78,1.56,22.66,0,14.94,2,18,7.42,0,2.08
11.17,1138.25,2.22,1.66,17,13.09,0,21.88,0,14.94,2,18,7.19,0,1.98
11.28,1155,2.36,1.66,21,13.09,-2.34,21.09,0,14.94,2,18,7.48,0,1.9
11.38,1182.5,2.76,1.69,21.5,13.32,-3.12,20.31,0,14.94,2,18,7.39,0,2.03
11.48,1209.5,2.98,1.7,22,13.21,-3.91,19.53,0,14.94,2,18,7.62,0,1.91
11.58,1249.5,2.87,1.71,22,13.09,-5.47,19.53,0,14.94,2,18,8.45,0,1.89
11.68,1260.75,2.8,1.66,22.5,13.55,-7.81,18.75,0,14.94,2,18,7.46,0,1.93
11.78,1293.75,3.6,1.7,23.5,14.36,-6.25,18.75,0,14.94,2,18,7.88,0,2.18
11.88,1302.75,3.92,1.78,23.5,15.62,-2.34,17.97,0,14.94,2,18,9.02,0,2.26
11.98,1325.5,3.74,1.78,24,15.85,-1.56,17.97,0,14.94,2,18,9.54,0,2.29
12.08,1339.5,3.63,1.74,24,16.19,-0.78,17.97,0,14.94,2,18,8.84,0,2.34
12.19,1368.5,3.56,1.74,24.5,16.65,0.78,17.19,0,14.94,2,18,8.69,0,2.39
12.30,1390,2.51,1.71,25,17.11,3.12,17.19,0,14.94,2,18,7.77,0,2.47
12.40,1394.75,2.22,1.6,26,17.11,7.03,16.41,0,14.94,2,18,6.52,0,2.53
12.51,1392.5,2.18,1.64,26.5,17.23,7.81,14.84,0,14.94,2,18,7.03,0,2.47
12.61,1388.25,2.11,1.61,26.5,16.77,8.59,14.84,0,14.94,2,18,6.45,0,2.43
12.72,1383.25,2.25,1.63,26.5,17.11,9.38,14.84,0,14.94,2,18,6.71,0,2.43
12.82,1397,3.12,1.64,27,16.42,11.72,14.84,0,14.94,2,18,7.25,0,2.43
12.92,1409,2.54,1.56,20.5,16.42,13.28,14.84,0,14.94,2,18,6.78,0,2.46
13.03,1460.5,2.47,1.58,23.5,16.65,14.06,14.84,0,14.94,2,18,5.96,0,2.43
13.14,1469.5,2.18,1.53,28.5,16.88,16.41,14.84,0,14.94,2,18,5.55,0,2.46
13.24,1464.75,2.03,1.53,31,15.85,15.62,14.84,0,14.94,2,18,5.35,0,2.42
13.34,1457.25,2.06,1.53,33.5,16.42,16.41,14.84,0,14.94,2,18,5.5,0,2.32
13.44,1456,1.99,1.54,34.5,15.73,16.41,14.84,0,14.94,2,18,5.79,0,2.31
13.54,1470,1.77,1.51,34.5,15.73,16.41,14.84,0,14.94,2,18,5.72,0,2.31
13.64,1483.75,1.82,1.49,35,15.62,17.19,14.84,0,14.94,2,18,5.22,0,2.29
13.74,1487.75,2.25,1.53,37,16.42,18.75,14.84,0,14.94,2,18,5.34,0,2.37
13.84,1491.75,3.78,1.68,36.5,15.85,19.53,14.84,0,14.94,2,18,5.53,0,2.3
13.94,1499,5.11,1.76,35,15.62,20.31,14.84,0,14.94,2,18,9.13,0,2.29
14.04,1544.25,7.65,1.89,31.5,15.5,21.09,14.84,0,14.94,2,18,10.81,0,2.31
14.14,1627.75,7.41,2.03,30.5,15.39,22.66,14.84,0,14.94,2,18,15.27,0,2.3
14.24,1681.25,5.5,1.9,29,14.24,21.88,17.97,0,14.94,2,18,14.66,0,2.21
14.34,1733.25,3,1.75,29.5,13.9,20.31,17.97,0,14.94,2,18,11.99,0,2.02
14.44,1727.75,1.63,1.57,31,12.63,15.62,17.19,0,14.94,2,18,5.96,0,1.95
14.54,1692.5,0,1.39,27,12.86,14.84,17.19,0,14.94,2,18,4.41,0,1.77
14.65,1677,0,1.34,27.5,13.44,14.06,17.97,0,14.94,2,18,3.46,0,1.97
14.75,1655.5,0,1.4,27.5,12.86,14.06,18.75,0,14.94,2,18,3.92,0,2.02
14.86,1587.5,0,1.41,28.5,12.86,12.5,18.75,0,14.94,2,18,3.96,0,1.86
14.96,1603.25,0,1.45,24,12.75,12.5,19.53,0,14.94,2,18,4.47,0,1.8
15.07,1594.25,0,1.44,21.5,12.86,11.72,20.31,0,14.94,2,18,4.54,0,1.83
15.17,1571.25,0,1.41,21.5,13.09,11.72,20.31,0,14.94,2,18,4.21,0,1.91
15.27,1549.5,0,1.41,20.5,12.86,10.16,21.09,0,14.94,2,18,3.92,0,1.87
15.38,1477.75,0,1.42,19,13.32,10.16,21.09,0,14.94,2,18,4.2,0,1.9
15.48,1405,0,1.41,18,13.21,9.38,21.09,0,14.94,2,18,4.15,0,1.92
15.58,1370.5,0,1.41,16,13.78,9.38,21.88,0,14.94,2,18,4.14,0,2
15.68,1285.25,0,1.42,14.5,14.01,9.38,21.88,0,14.94,2,18,4.17,0,2.08
15.78,1237.75,0,1.42,13.5,13.67,8.59,21.88,0,14.94,2,18,4.25,0,2.06
15.88,1179.25,0,1.44,12,13.09,7.81,24.22,0,14.94,2,18,4.32,0,1.93
15.98,1119.5,0,1.42,12,12.75,7.03,24.22,0,14.94,2,18,4.2,0,1.81
16.08,1081.75,0,1.44,13,13.55,6.25,24.22,0,14.94,2,18,4.32,0,1.94
16.19,1065.25,0,1.42,12.5,14.01,6.25,24.22,0,14.94,2,18,4.34,0,2.08
16.29,982.5,0,1.4,12,14.59,6.25,24.22,0,14.94,2,18,4.1,0,2.08
16.39,958,0,1.4,12,15.73,7.03,24.22,0,14.94,2,18,4.1,0,2.21
16.49,943.25,0,1.4,12,15.16,7.81,24.22,0,14.94,2,18,4.05,0,2.27
16.59,913.5,0,1.4,11,15.62,7.81,24.22,0,14.94,2,18,3.99,0,2.29
16.69,899.5,0,1.39,11,15.39,7.81,24.22,0,14.94,2,18,3.83,0,2.25
16.79,904.75,0,1.38,10,15.16,8.59,24.22,0,14.94,2,18,3.77,0,2.27
16.90,914.5,0,1.38,9.5,14.59,8.59,24.22,0,14.94,2,18,3.82,0,2.2
17.00,917,0,1.35,10,14.13,7.81,24.22,0,14.94,2,18,3.63,0,2.1
17.10,910.75,0,1.38,10,14.13,7.03,24.22,0,14.94,2,18,3.63,0,2.18
17.20,913.5,0,1.38,10.5,14.24,7.03,24.22,0,14.94,2,18,3.81,0,2.09
17.30,893.75,0,1.35,10.5,13.9,7.03,24.22,0,14.94,2,18,3.52,0,2.1
17.40,875,0,1.35,10.5,13.67,6.25,24.22,0,14.94,2,18,3.56,0,2.06
17.50,869.75,0,1.37,10.5,14.01,6.25,24.22,0,14.94,2,18,3.7,0,2.06
17.60,852.5,0,1.34,10.5,14.01,5.47,24.22,0,14.94,2,18,3.65,0,2.01
17.70,833.25,0,1.35,11,14.24,5.47,24.22,0,14.94,2,18,3.49,0,2.07
17.81,827,0,1.35,11,13.9,6.25,24.22,0,14.94,2,18,3.5,0,2.14
17.92,812.75,0,1.37,10.5,14.7,6.25,24.22,0,14.94,2,18,3.72,0,2.19
18.02,799.75,0,1.37,8.5,14.47,5.47,24.22,0,14.94,2,18,3.61,0,2.13
18.12,787.5,0,1.37,8.5,14.13,5.47,24.22,0,14.94,2,18,3.69,0,2.18
18.22,761.25,0,1.36,8.5,14.93,5.47,24.22,0,14.94,2,18,3.6,0,2.23
18.32,752.25,0,1.36,10,15.62,7.03,24.22,0,14.94,2,18,3.73,0,2.21
18.42,731,0,1.38,10,15.16,7.03,24.22,0,14.94,2,18,3.61,0,2.29
18.52,727.75,0,1.36,9.5,16.31,7.81,24.22,0,14.94,2,18,3.61,0,2.38
18.62,731.25,0,1.48,9.5,15.62,8.59,24.22,0,14.94,2,18,4.59,0,2.33
18.72,746.75,0,1.53,7.5,15.85,9.38,24.22,0,14.94,2,18,5.01,0,2.38
18.82,770.75,0,1.51,4.5,16.65,9.38,24.22,0,14.94,2,18,5.12,0,2.3
18.92,776.5,0,1.48,2.5,15.96,9.38,24.22,0,14.94,2,18,4.87,0,2.35
19.02,737.25,0,1.41,4.5,16.31,10.16,24.22,0,14.94,2,18,4.79,0,2.32
19.12,736.5,0,1.49,7,16.19,10.16,24.22,0,14.94,2,18,4.84,0,2.32
19.22,753.75,0,1.48,5,15.96,11.72,24.22,0,14.94,2,18,4.66,0,2.45
19.32,759.75,0,1.47,4.5,15.85,11.72,24.22,0,14.94,2,18,4.87,0,2.32
19.42,774.5,0,1.48,3,15.96,11.72,24.22,0,14.94,2,18,4.91,0,2.32
19.52,779.5,0,1.49,2.5,15.04,12.5,24.22,0,14.94,2,18,4.89,0,2.33
19.62,757.5,0,1.48,4.5,15.04,12.5,24.22,0,14.94,2,18,5.02,0,2.33
19.72,750.75,0,1.47,5,15.5,12.5,24.22,0,14.94,2,18,5.04,0,2.35
19.82,749.5,0,1.5,5,14.47,12.5,24.22,0,14.94,2,18,5.17,0,2.33
19.93,753,0,1.5,4,15.39,13.28,24.22,0,14.94,2,18,5.02,0,2.3
20.03,752.25,0,1.48,4,15.73,13.28,24.22,0,14.94,2,18,4.91,0,2.29
20.14,746.75,0,1.45,4.5,14.59,13.28,24.22,0,14.94,2,18,4.66,0,2.24
20.24,722.25,0,1.46,7,15.39,13.28,24.22,0,14.94,2,18,4.66,0,2.27
20.34,728.25,0,1.49,5.5,14.93,13.28,24.22,0,14.94,2,18,5.02,0,2.19
20.44,733.75,0,1.48,5.5,14.01,13.28,24.22,0,14.94,2,18,4.84,0,2.24
20.54,743.25,0,1.47,4.5,14.7,12.5,24.22,0,14.94,2,18,4.83,0,2.2
20.64,742.75,0,1.48,4.5,13.9,12.5,24.22,0,14.94,2,18,5.04,0,2.08
20.74,738.5,0,1.49,5,15.16,11.72,24.22,0,14.94,2,18,4.96,0,2.22
20.84,751.75,0,1.46,4,14.93,11.72,24.22,0,14.94,2,18,5.14,0,2.04
20.95,740.75,0,1.47,5,13.55,11.72,24.22,0,14.94,2,18,4.76,0,2.23
21.05,755,0,1.5,4,14.59,10.94,24.22,0,14.94,2,18,4.99,0,2.18
21.15,758.5,0,1.5,3,13.78,10.94,24.22,0,14.94,2,18,5.25,0,2.01
21.26,743.25,0,1.51,4.5,13.78,10.94,24.22,0,14.94,2,18,4.76,0,2.03
21.36,745.25,0,1.5,4.5,14.01,10.16,24.22,0,14.94,2,18,5.09,0,2.06
21.46,750.75,0,1.49,3.5,13.32,9.38,24.22,0,14.94,2,18,4.93,0,1.93
21.56,750.5,0,1.46,3.5,13.9,9.38,24.22,0,14.94,2,18,4.84,0,2
21.66,748.25,0,1.48,4,14.13,10.16,24.22,0,14.94,2,18,4.8,0,2.04
21.77,743.75,0,1.48,4.5,13.67,8.59,24.22,0,14.94,2,18,4.75,0,2.09
21.88,756.75,0,1.48,4,14.24,8.59,24.22,0,14.94,2,18,5.15,0,2.12
21.98,753.25,0,1.49,4,14.59,8.59,24.22,0,14.94,2,18,5.15,0,2.09
22.09,751,0,1.49,2.5,14.13,8.59,24.22,0,14.94,2,18,4.99,0,2.17
22.20,747,0,1.48,2.5,14.24,8.59,24.22,0,14.94,2,18,4.87,0,2.03
22.30,736,0,1.48,5.5,14.59,7.81,24.22,0,14.94,2,18,4.93,0,2.08
22.41,743,0,1.49,4,13.44,7.81,24.22,0,14.94,2,18,4.96,0,2.15
22.51,748.5,0,1.51,4,14.24,7.81,24.22,0,14.94,2,18,5.01,0,2.18
22.62,752.5,0,1.48,3.5,14.7,7.03,24.22,0,14.94,2,18,5.2,0,2.04
22.72,745,0,1.47,2.5,13.78,7.03,24.22,0,14.94,2,18,4.8,0,2.18
22.82,761,0,1.46,3,14.36,7.03,24.22,0,14.94,2,18,4.55,0,2.17
22.92,765.25,0,1.46,3,14.59,6.25,24.22,0,14.94,2,18,4.58,0,2.08
23.02,769,0,1.48,2.5,13.67,7.03,24.22,0,14.94,2,18,5.15,0,2.17
23.12,780.5,0,1.5,1.5,14.24,7.03,24.22,0,14.94,2,18,5.12,0,2.01
23.23,785.75,0,1.49,1.5,13.32,6.25,24.22,0,14.94,2,18,4.76,0,2.08
23.33,779.25,0,1.5,7.5,13.44,5.47,24.22,0,14.94,2,18,5.01,0,2.06
23.43,788.25,0,1.49,6,14.47,5.47,24.22,0,14.94,2,18,5.19,0,1.98
23.54,821.25,0,1.47,5.5,14.13,5.47,24.22,0,14.94,2,18,4.69,0,2.08
23.64,829.25,0.15,1.49,5.5,13.44,5.47,24.22,0,14.94,2,18,5.14,0,2.02
23.74,823.25,1.44,1.57,6,13.55,3.91,24.22,0,14.94,2,18,6.28,0,1.93
23.84,844,2.03,1.63,11,12.86,1.56,23.44,0,14.94,2,18,6.71,0,1.81
23.94,896.75,2.22,1.66,12,12.86,0,22.66,0,14.94,2,18,7.44,0,1.84
24.04,936.25,2.47,1.66,14,12.98,0.78,21.88,0,14.94,2,18,7.41,0,2.01
24.14,1010.25,2.43,1.67,17,12.98,-0.78,21.09,0,14.94,2,18,7.29,0,1.94
24.24,1046.75,2.36,1.68,18.5,13.32,-1.56,20.31,0,14.94,2,18,7.88,0,1.93
24.35,1126.25,2,1.64,19.5,12.86,-3.91,19.53,0,14.94,2,18,7.39,0,1.87
24.45,1148.5,1.45,1.61,20.5,12.86,-6.25,19.53,0,14.94,2,18,6.4,0,1.8
24.56,1168.75,1.27,1.57,21,13.21,-7.81,18.75,0,14.94,2,18,6.4,0,1.89
24.66,1166,1.34,1.57,21,13.78,-7.81,18.75,0,14.94,2,18,6.15,0,2.02
24.76,1153.25,1.95,1.57,21.5,13.78,-6.25,17.97,0,14.94,2,18,6.01,0,1.97
24.86,1153.25,1.95,1.58,21.5,14.24,-6.25,17.97,0,14.94,2,18,5.64,0,2.07
24.96,1152.75,1.99,1.58,21.5,14.59,-6.25,17.19,0,14.94,2,18,6.15,0,2.21
25.06,1154.75,2.1,1.63,21.5,14.81,-6.25,17.19,0,14.94,2,18,6.26,0,2.16
25.16,1156.5,2.1,1.59,21.5,14.59,-6.25,17.19,0,14.94,2,18,6.63,0,2.19
25.26,1158,2.43,1.61,22,14.59,-6.25,16.41,0,14.94,2,18,6.58,0,2.16
25.36,1174.5,2.5,1.6,22,14.81,-7.03,14.84,0,14.94,2,18,6.5,0,2.17
25.46,1180.5,2.57,1.66,22,14.81,-6.25,14.84,0,14.94,2,18,7.31,0,2.22
25.57,1187.75,3.62,1.72,22,14.81,-6.25,14.84,0,14.94,2,18,7.33,0,2.16
25.67,1205.25,3.73,1.72,22,15.27,-5.47,14.84,0,14.94,2,18,9.04,0,2.26
25.77,1241.5,3.7,1.75,22,15.5,-4.69,14.84,0,14.94,2,18,8.93,0,2.28
25.87,1267.5,3.59,1.76,23,15.73,-3.12,14.84,0,14.94,2,18,9.16,0,2.3
25.97,1302.5,3.51,1.74,23,15.96,-1.56,14.84,0,14.94,2,18,9.13,0,2.34
26.07,1318.75,3.51,1.72,24,16.31,0.78,14.84,0,14.94,2,18,8.6,0,2.39
26.17,1342,3.44,1.74,24,17.34,1.56,14.84,0,14.94,2,18,8.51,0,2.42
26.27,1348,3.41,1.72,24,17.11,4.69,14.84,0,14.94,2,18,8.49,0,2.45
26.38,1357.75,3.44,1.71,24.5,16.65,4.69,14.84,0,14.94,2,18,8.28,0,2.44
26.48,1373,3.3,1.72,25,16.65,6.25,14.84,0,14.94,2,18,8.07,0,2.42
26.59,1381.75,2.97,1.68,25.5,16.88,10.16,14.84,0,14.94,2,18,8.36,0,2.42
26.69,1389.5,3.12,1.68,25.5,16.54,10.16,14.84,0,14.94,2,18,7.83,0,2.43
26.80,1398.25,3.7,1.68,26,16.42,10.94,14.84,0,14.94,2,18,7.9,0,2.38
26.90,1430.25,2.77,1.62,21.5,15.73,12.5,14.84,0,14.94,2,18,7.16,0,2.41
27.00,1458.25,1.12,1.48,25.5,15.5,12.5,14.84,0,14.94,2,18,6.05,0,2.31
27.10,1456.5,0,1.39,30,15.27,11.72,14.84,0,14.94,2,18,4.47,0,2.26
27.21,1412.75,0,1.33,24.5,14.81,11.72,15.62,0,14.94,2,18,3.53,0,2.23
27.32,1361.75,0,1.32,24,15.16,11.72,16.41,0,14.94,2,18,3.27,0,2.26
27.42,1342.25,0,1.38,19.5,15.27,11.72,17.19,0,14.94,2,18,3.45,0,2.29
27.52,1296.75,0,1.39,12,14.36,11.72,17.97,0,14.94,2,18,3.92,0,2.18
27.63,1275.25,0,1.36,7,13.55,10.94,18.75,0,14.94,2,18,3.61,0,2.1
27.73,1235,0,1.39,6.5,12.98,10.16,18.75,0,14.94,2,18,3.77,0,1.96
27.83,1189.25,0,1.37,6,12.63,8.59,19.53,0,14.94,2,18,3.72,0,1.79
27.94,1160.25,0,1.38,6,12.63,7.81,19.53,0,14.94,2,18,3.92,0,1.7
28.04,1134.75,0,1.39,6,12.29,7.03,20.31,0,14.94,2,18,3.98,0,1.73
28.15,1117.75,0,1.4,5.5,12.29,5.47,21.09,0,14.94,2,18,4.19,0,1.65
28.25,1066.5,0,1.42,5.5,12.63,4.69,21.09,0,14.94,2,18,3.94,0,1.74
